work,workDescription,workLabel,coords,address,aliases,image,DRSImageURL,yearInstalled,yearRemoved,materials,categories,creators,neighborhoods,depicted,commemorated
http://www.wikidata.org/entity/Q108489871,2005 sculpture by Robert Shure in Boston,Donald McKay Monumental Bust,Point(-71.032140578 42.374140493),,Donald McKay Heroic Bust,,,2005,,bronze,sculpture,Robert Shure,East Boston,Donald McKay,
http://www.wikidata.org/entity/Q109272156,"2019 mural by Genaro ""GoFive"" Ortega",Sacred Journey,Point(-71.0611851 42.344122069),"90 Traveler St, Boston, MA 02118",,,,2019,,,mural,Genaro Ortega,South End,,
http://www.wikidata.org/entity/Q110088899,"2017 mural by Soraya ""Indie184"" Marquez",Untitled,Point(-71.0611851 42.344122069),"90 Traveler St, Boston, MA 02118",,,,2017,,,mural,Soraya Marquez,South End,,
http://www.wikidata.org/entity/Q116213339,2021 mural by Dragon76 in Boston,Protect,Point(-71.099734166 42.345423587),"51 Van Ness St, Boston, MA 02215, USA",,,,2021,,,mural,DRAGON76,Fenway–Kenmore,,
http://www.wikidata.org/entity/Q116310041,Mural at the Northeastern University campus in Boston,100 Years of Solitude,Point(-71.086677403 42.338522336),"Columbus Parking Garage Overpass, Boston, MA 02115",,,,2014,,,mural,Daniel Anguilu,Roxbury,,
http://www.wikidata.org/entity/Q107975665,2016 mural by Heidi Schork and Mayor's Mural Crew in Boston,Become a Big Sister,Point(-71.0776851 42.319308792),"156 Blue Hill Avenue, Boston, MA 02125",,,,2016,,paint,mural,Mayor's Mural Crew; Heidi Schork,Dorchester; Roxbury,,
http://www.wikidata.org/entity/Q109272117,"2020 mural by Rob ""Problak"" Gibbs and Genaro ""GoFive"" Ortega",Roxbury Love Story,Point(-71.082057477 42.334203917),"431 Melnea Cass Blvd, Boston, MA 02119",,,,2020,,,mural,Rob Gibbs; Genaro Ortega,Roxbury,Coretta Scott King; Martin Luther King Jr.,
http://www.wikidata.org/entity/Q117024772,Mural at the Latinx Student Cultural Center at Northeastern University,We Are All Streams Leading to the Same River,Point(-71.089684526 42.33832098),"104 Forsyth St. Boston, MA 02115",,,,2016,,,mural,Elaine Chu; Fredericko Alvarado; Suaro Luis Cervantes; Susan Cervantes,Fenway–Kenmore,,
http://www.wikidata.org/entity/Q108474255,1970 mural by Dan Hueng and Bob Uyeda in Boston,Untitled,Point(-71.06101 42.35145),"7072 Beach St, Boston, MA 02111",Mural,,,1970,,,mural,,Chinatown,junk,
http://www.wikidata.org/entity/Q116213324,2020 mural in Boston by Sophy Tuttle,Interconnected,Point(-71.125721063 42.363708031),"135 Western Ave, Allston, MA 02134",,,,2020,,,mural,Sophy Tuttle,Allston,,
http://www.wikidata.org/entity/Q25222767,memorial in Boston,Harriet Tubman Memorial,Point(-71.078122475 42.343340726),"450 Columbus Avenue, Boston, MA 02116",Step on Board,http://commons.wikimedia.org/wiki/Special:FilePath/Harriet%20Tubman%20Memorial%2C%20Boston%20%28front%2C%20uncropped%29.jpg,https://repository.library.northeastern.edu/downloads/neu:4f1855802?datastream_id=thumbnail_5,1999,,bronze,memorial; sculpture,Fern Cunningham,South End,Harriet Tubman,Harriet Tubman
http://www.wikidata.org/entity/Q111370917,2021 mural by Sabrina Dorsainvil in Boston,Sea Keepers,Point(-71.03412 42.36969),"135 Gove St, East Boston",,,,2021,,,mural,Sabrina Dorsainvil,East Boston,,
http://www.wikidata.org/entity/Q109272125,2021 mural by Ponnapa Prakkamakul and A-VOYCE youth from Asian Community Development Corporation,Where We Belong,Point(-71.060486 42.3524),"79 Essex St, Boston, MA 02111",,,,2021,,,mural,Ponnapa Prakkamakul,Chinatown,noodle; dragon,
http://www.wikidata.org/entity/Q110307556,"2017 mural in Dorchester, Boston by Heidi Schork",Flowers at Lopez Florist,Point(-71.0551 42.2843),"742 Adams Street, Dorchester, Boston, MA",,,,2017,,,mural,Heidi Schork,Dorchester,,
http://www.wikidata.org/entity/Q107466783,1977 mosaic by Lilli Ann Killen Rosenberg,Ramon Betances Mural,Point(-71.073480426 42.341654231),"100 W Dedham Street, Boston, MA 02118",Betances Mural,,,1977,,ceramic tile,mosaic,Lilli Ann Killen Rosenberg,South End,Ramón Emeterio Betances,Ramón Emeterio Betances
http://www.wikidata.org/entity/Q116177253,"2018 mural by Heidi Schork and the Mayor's Mural Crew in Jamaica Plain, Massachusetts",Don't Forget to Smile - Gentle Dental,Point(-71.113926972 42.314222529),"612 Centre St, Jamaica Plain, MA 02130",,,,2018,,,mural,Mayor's Mural Crew; Heidi Schork,Jamaica Plain,,
http://www.wikidata.org/entity/Q107975704,"2020 mural by David ""Don Rimx"" Sepulveda in Boston",Sangre Indígena,Point(-71.088586883 42.3315579),"75 Malcolm X Boulevard, Boston, MA 02120",,,,2020,,paint,mural,David Sepulveda,Roxbury,,
